LeireOLABERRIA DORRONSORO,Lap-1-Place-12,Lap-2-Place-11,Lap-3-Place-9,Lap-4-Place-8,Lap-5-Place-6,Lap-6-Place-5,Lap-7-Place-4,Lap-8-Place-4,Lap-9-Place-4,Lap-10-Place-3,Lap-11-Place-2,Lap-12-Place-2
JosephineTOMIC,Lap-1-Place-3,Lap-2-Place-2,Lap-3-Place-2,Lap-4-Place-2,Lap-5-Place-2,Lap-6-Place-2,Lap-7-Place-3,Lap-8-Place-3,Lap-9-Place-3,Lap-10-Place-4,Lap-11-Place-4,Lap-12-Place-5
LadaKOZLIKOVA,Lap-1-Place-5,Lap-2-Place-4,Lap-3-Place-3,Lap-4-Place-1,Lap-5-Place-1,Lap-6-Place-1,Lap-7-Place-1,Lap-8-Place-1,Lap-9-Place-1,Lap-10-Place-1,Lap-11-Place-1,Lap-12-Place-1
WendyHOUVENAGHEL,Lap-1-Place-7,Lap-2-Place-10,Lap-3-Place-11,Lap-4-Place-12,Lap-5-Place-12,Lap-6-Place-12,Lap-7-Place-12,Lap-8-Place-12,Lap-9-Place-11,Lap-10-Place-11,Lap-11-Place-11,Lap-12-Place-11
"21,Nov",Lap-1-Place-14,Lap-2-Place-14,Lap-3-Place-15,Lap-4-Place-15,Lap-5-Place-15,Lap-6-Place-15,Lap-7-Place-15,Lap-8-Place-15,Lap-9-Place-15,Lap-10-Place-15,Lap-11-Place-15,Lap-12-Place-15
AdrianaMARTINEZ,Lap-1-Place-5,Lap-2-Place-7,Lap-3-Place-8,Lap-4-Place-8,Lap-5-Place-8,Lap-6-Place-8,Lap-7-Place-8,Lap-8-Place-8,Lap-9-Place-8,Lap-10-Place-8,Lap-11-Place-10,Lap-12-Place-11
HelenKELLY,Lap-1-Place-12,Lap-2-Place-11,Lap-3-Place-12,Lap-4-Place-12,Lap-5-Place-12,Lap-6-Place-11,Lap-7-Place-11,Lap-8-Place-11,Lap-9-Place-11,Lap-10-Place-10,Lap-11-Place-9,Lap-12-Place-8
"21,Nov",Lap-1-Place-13,Lap-2-Place-13,Lap-3-Place-13,Lap-4-Place-13,Lap-5-Place-13,Lap-6-Place-12,Lap-7-Place-12,Lap-8-Place-12,Lap-9-Place-12,Lap-10-Place-12,Lap-11-Place-12,Lap-12-Place-13
PascaleSCHNIDER,Lap-1-Place-9,Lap-2-Place-4,Lap-3-Place-3,Lap-4-Place-2,Lap-5-Place-5,Lap-6-Place-5,Lap-7-Place-5,Lap-8-Place-5,Lap-9-Place-6,Lap-10-Place-6,Lap-11-Place-6,Lap-12-Place-7
HyeLEE Min,Lap-1-Place-3,Lap-2-Place-8,Lap-3-Place-9,Lap-4-Place-9,Lap-5-Place-10,Lap-6-Place-10,Lap-7-Place-10,Lap-8-Place-10,Lap-9-Place-10,Lap-10-Place-11,Lap-11-Place-11,Lap-12-Place-10
"21,Nov",Lap-1-Place-8,Lap-2-Place-5,Lap-3-Place-7,Lap-4-Place-5,Lap-5-Place-3,Lap-6-Place-3,Lap-7-Place-3,Lap-8-Place-3,Lap-9-Place-3,Lap-10-Place-3,Lap-11-Place-3,Lap-12-Place-3
MadeleineSANDIG,Lap-1-Place-4,Lap-2-Place-3,Lap-3-Place-5,Lap-4-Place-7,Lap-5-Place-7,Lap-6-Place-7,Lap-7-Place-9,Lap-8-Place-9,Lap-9-Place-9,Lap-10-Place-9,Lap-11-Place-8,Lap-12-Place-9
KimberlyGEIST,Lap-1-Place-6,Lap-2-Place-6,Lap-3-Place-4,Lap-4-Place-3,Lap-5-Place-4,Lap-6-Place-4,Lap-7-Place-4,Lap-8-Place-4,Lap-9-Place-4,Lap-10-Place-4,Lap-11-Place-4,Lap-12-Place-5
"21,Nov",Lap-1-Place-15,Lap-2-Place-15,Lap-3-Place-14,Lap-4-Place-14,Lap-5-Place-14,Lap-6-Place-14,Lap-7-Place-14,Lap-8-Place-14,Lap-9-Place-14,Lap-10-Place-14,Lap-11-Place-14,Lap-12-Place-14
JolienD'HOORE,Lap-1-Place-2,Lap-2-Place-2,Lap-3-Place-1,Lap-4-Place-1,Lap-5-Place-1,Lap-6-Place-1,Lap-7-Place-1,Lap-8-Place-1,Lap-9-Place-1,Lap-10-Place-1,Lap-11-Place-1,Lap-12-Place-2
"21,Nov",Lap-1-Place-11,Lap-2-Place-12,Lap-3-Place-11,Lap-4-Place-10,Lap-5-Place-9,Lap-6-Place-9,Lap-7-Place-6,Lap-8-Place-6,Lap-9-Place-5,Lap-10-Place-5,Lap-11-Place-5,Lap-12-Place-4
EleonoraVAN DIJK,Lap-1-Place-7,Lap-2-Place-10,Lap-3-Place-10,Lap-4-Place-11,Lap-5-Place-11,Lap-6-Place-13,Lap-7-Place-13,Lap-8-Place-13,Lap-9-Place-13,Lap-10-Place-13,Lap-11-Place-13,Lap-12-Place-12
JamieWONG Wan Yiu,Lap-1-Place-10,Lap-2-Place-9,Lap-3-Place-6,Lap-4-Place-4,Lap-5-Place-2,Lap-6-Place-2,Lap-7-Place-2,Lap-8-Place-2,Lap-9-Place-2,Lap-10-Place-2,Lap-11-Place-2,Lap-12-Place-1
"21,Nov",Lap-1-Place-1,Lap-2-Place-1,Lap-3-Place-2,Lap-4-Place-6,Lap-5-Place-6,Lap-6-Place-6,Lap-7-Place-7,Lap-8-Place-7,Lap-9-Place-7,Lap-10-Place-7,Lap-11-Place-7,Lap-12-Place-6
